Day of Created At,Id,Type,Teams Count
"11 February, 2017",691,student,4
"11 February, 2017",693,student,0
"11 February, 2017",696,student,0
"11 February, 2017",697,student,0
"11 February, 2017",699,student,0
"11 February, 2017",701,student,0
"11 February, 2017",702,student,0
"11 February, 2017",703,student,0
"11 February, 2017",704,student,0
"11 February, 2017",705,student,0
"11 February, 2017",706,student,1
"11 February, 2017",707,student,1
"11 February, 2017",709,student,0
"11 February, 2017",710,student,0
"11 February, 2017",711,student,0
"11 February, 2017",712,student,0
"11 February, 2017",713,student,0
"11 February, 2017",714,student,0
"11 February, 2017",716,student,1
"11 February, 2017",717,student,3
"11 February, 2017",719,student,2
"11 February, 2017",720,student,1
"11 February, 2017",721,student,1
"11 February, 2017",723,student,0
"11 February, 2017",725,student,0
"11 February, 2017",726,student,2
"11 February, 2017",727,student,0
"11 February, 2017",730,student,0
"11 February, 2017",731,student,2
"11 February, 2017",732,student,0
"11 February, 2017",733,student,0
"11 February, 2017",734,student,0
"11 February, 2017",735,student,0
"11 February, 2017",737,student,0
"11 February, 2017",738,student,0
"11 February, 2017",740,student,0
"11 February, 2017",741,student,0
"11 February, 2017",742,student,0
"11 February, 2017",744,student,0
"11 February, 2017",745,student,1
"11 February, 2017",746,student,0
"11 February, 2017",747,student,0
"11 February, 2017",748,student,0
"11 February, 2017",749,student,0
"11 February, 2017",751,student,0
"11 February, 2017",752,student,0
"11 February, 2017",753,student,0
"11 February, 2017",754,student,0
"11 February, 2017",755,student,0
"11 February, 2017",757,student,0
"11 February, 2017",758,student,0
"11 February, 2017",759,student,0
"11 February, 2017",761,student,0
"11 February, 2017",762,student,0
"11 February, 2017",763,student,0
"11 February, 2017",765,student,1
"11 February, 2017",767,student,0
"11 February, 2017",768,student,1
"11 February, 2017",769,student,0
"11 February, 2017",770,student,0
"11 February, 2017",771,student,0
"11 February, 2017",774,student,0
"11 February, 2017",776,student,0
"11 February, 2017",778,student,0
"11 February, 2017",780,student,0
"11 February, 2017",781,student,0
"11 February, 2017",783,student,0
"11 February, 2017",784,student,0
"11 February, 2017",786,student,0
"11 February, 2017",787,student,0
"11 February, 2017",788,student,0
"11 February, 2017",789,student,0
"11 February, 2017",790,student,0
"11 February, 2017",791,student,0
"11 February, 2017",793,student,0
"11 February, 2017",794,student,0
"11 February, 2017",795,student,0
"11 February, 2017",796,student,0
"11 February, 2017",797,student,0
"11 February, 2017",799,student,0
"11 February, 2017",800,student,1
"11 February, 2017",801,student,0
"11 February, 2017",802,student,0
"11 February, 2017",803,student,0
"11 February, 2017",804,student,0
"11 February, 2017",808,student,0
"11 February, 2017",809,student,0
"11 February, 2017",810,student,0
"11 February, 2017",811,student,0
"11 February, 2017",813,student,0
"11 February, 2017",814,student,0
"11 February, 2017",815,student,0
"11 February, 2017",816,student,0
"11 February, 2017",817,student,0
"11 February, 2017",818,student,0
"11 February, 2017",819,student,0
"11 February, 2017",820,student,0
"11 February, 2017",821,student,0
"11 February, 2017",822,student,0
"11 February, 2017",823,student,1
"11 February, 2017",824,student,0
"11 February, 2017",825,student,0
"11 February, 2017",826,student,0
"11 February, 2017",827,student,0
"11 February, 2017",828,student,0
"11 February, 2017",829,student,0
"11 February, 2017",830,student,0
"11 February, 2017",831,student,0
"11 February, 2017",832,student,1
"11 February, 2017",833,student,0
"11 February, 2017",834,student,0
"11 February, 2017",835,student,0
"11 February, 2017",836,student,0
"11 February, 2017",837,student,0
"11 February, 2017",838,student,1
"11 February, 2017",839,student,1
"11 February, 2017",840,student,0
"11 February, 2017",841,student,0
"11 February, 2017",842,student,0
"11 February, 2017",843,student,0
"11 February, 2017",844,student,0
"11 February, 2017",845,student,0
"11 February, 2017",846,student,0
"11 February, 2017",847,student,0
"11 February, 2017",848,student,0
"11 February, 2017",849,student,1
"11 February, 2017",850,student,0
"11 February, 2017",851,student,0
"11 February, 2017",852,student,0
"11 February, 2017",853,student,0
"11 February, 2017",854,student,0
"11 February, 2017",855,student,0
"11 February, 2017",856,student,0
"11 February, 2017",857,student,1
"11 February, 2017",859,student,0
"11 February, 2017",860,student,0
"11 February, 2017",861,student,1
"11 February, 2017",863,student,0
"11 February, 2017",864,student,0
"11 February, 2017",865,student,0
"11 February, 2017",866,student,0
"11 February, 2017",869,student,0
"11 February, 2017",870,student,0
"11 February, 2017",871,student,0
"11 February, 2017",872,student,1
"11 February, 2017",875,student,0
"11 February, 2017",877,student,0
"11 February, 2017",879,student,1
